Reviews ID,reviews,,,,,,,,,,,,,,,,
1,"We had to be a perfect country, in fact, I only counted 17 Ancient Cities on the map We live in lands where all Civilizations want to live It is truly magnificent Again, there was a trip where we thought, “How was it done if it was such a long time ago” You can enter the museum with a card or ticket entry is 25 TL In the ancient city, there are churches, theaters and many other things that we cannot understand You must visit 👏🏻 If you want to go to Dalyan, you must take the mermaid ferry for 35 TL in 5 minutes", none,,,,,,,,,,,,,,,
2,"MUST READ Friends who are going Another location error More than 1 hour waste of time and fuel It is possible to pass through Dalyan by ferry in 5 minutes Do not wander around Köyceğiz Lake in vain The maps do not show the ferry for some reason, so it shows a 2-hour route If your route is from Marmaris to Dalyan, first visit Kaunos, then see the King Tombs, 17 km away, right before you cross the street (although it is closed, but can be seen more closely from the road or by entering the cemetery there) Then, take the ferry to Dalyan (5 minutes and 32 TL) Coming to the ancient city, don't expect too much by looking at the comments, there isn't much preserved, it's more like a ruin But it's definitely worth the trip For example, I say that you should definitely see the mosaic that I put in the image Some comments say ""forget all the ancient cities you've seen"" or something",,,,,,,,,,,,,,,,
3,"Kaunos is an impressive ancient city You can cross the road in 2-3 minutes by ferry from Dalyan After that, you go a distance of about 5 minutes by car The ferry fee is 32 liras Since it is a 4 car ferry, it fills up immediately so you don't have to wait BC It is thought that Anatolian people lived here in the 6th century There are church ruins from the 6th century AD and a very beautiful ancient theater There are information signs for each building It is possible to see free-running goats It is as if the works are not yet finished I think over time it will become much more regular The museum card is valid, if you don't have a museum card, the entrance is 25 lira It's a must see place",,,,,,,,,,,,,,,,
4,"You may have to take some trouble for exciting transportation to visit beautiful historical places, but it is worth it The ancient city, which is a museum area, is very big, as it is enjoyable to visit, but at least ignore your tiring 3-4 hours I think it will be more fun if you do research before you go",,,,,,,,,,,,,,,,
5,"It is a beautiful ancient city You can enter the museum with a card The ancient city, formerly Kbid, is located in the middle of the Caria and Lycian roads It is one of the places to go when you come to Köyceğiz But most places are under renovation The theater also collapsed You can also see the famous royal tombs You can come from both Çandır village and Dalyan by ferry The village is also very cute If you come from Çandır, the road is very beautiful You can also stop by Ekincik Bay and Sultaniye Hot Springs on the road",,,,,,,,,,,,,,,,
6,"To reach the ruins of the city of Kaunos, we crossed by boat and followed the walking path to the old world The journey by boat took 5-10 minutes on average It was very nice to experience the peace of being in the calm waters of Dalyan river The walking path took 20-25 minutes Our tour time in the city was 1 and a half and 2 hours, if you are curious, it can take even longer There is a counter on the way before reaching the ancient city, wonderful handmade products, pomegranate juice, soap, oils, replicas of the coins used by the inhabitants of the ancient city of Kaunos, souvenirs A must-visit place on vacation+ PLEASE DO NOT THROW YOUR CIGARETTE BUTTS AND TRASH",,,,,,,,,,,,,,,,
7,"The ancient city in Dalyan A must visit when in the area Entry with a museum card The ticket was 25 TL The view is also very good There are different alternatives for transportation It is possible to reach by boat, ferry or car",,,,,,,,,,,,,,,,
8,"Forget about all the ancient cities you've seen before Whether you're interested in history or not, the Ancient City of Kaunos amazes you with the mystery of a civilization thousands of years ago and its incredible mechanical genius for the quality of life I strongly recommend you to visit",,,,,,,,,,,,,,,,
9,We are very impressed here It's a place worth spending a lot of time exploring We passed here from Dalyan by ferry and our car There is an entrance with a museum card Restoration work continues A lost secret history,,,,,,,,,,,,,,,,
10,"Spring months are very suitable for visiting the region We rented a boat from Dalyan, bought blue crabs from the cooperative on the way and had them cooked on the boat, it was a great trip Excavations had just begun in Kaunos, and the accident tombs are wonderful",,,,,,,,,,,,,,,,
